urn,title,page_start,page_end,overlapp,digital_visning,comment,dhlabid,pages
URN:NBN:no-nb_digibok_2009021703002,Fjernt på de blinkende bølger,10,10,,,,dhlab_norn_poem_00058,
URN:NBN:no-nb_digibok_2009021703002,Idyl,11,12,,,,dhlab_norn_poem_00059,
URN:NBN:no-nb_digibok_2009021703002,"Der var noen, som sa, at havet var ungt",13,13,,,,dhlab_norn_poem_00060,
URN:NBN:no-nb_digibok_2009021703002,Erotik,14,15,,,,dhlab_norn_poem_00061,
URN:NBN:no-nb_digibok_2009021703002,Natten løser du sit silkespundne –,16,16,,,,dhlab_norn_poem_00062,
URN:NBN:no-nb_digibok_2009021703002,Crescendo,17,17,,,,dhlab_norn_poem_00063,
URN:NBN:no-nb_digibok_2009021703002,Måneskin,18,19,,,,dhlab_norn_poem_00064,
URN:NBN:no-nb_digibok_2009021703002,Over en ven,20,22,,,,dhlab_norn_poem_00065,
URN:NBN:no-nb_digibok_2009021703002,"Der rumles, der støies i livets larm",23,23,,,,dhlab_norn_poem_00066,
URN:NBN:no-nb_digibok_2009021703002,Alléen,24,24,,,,dhlab_norn_poem_00067,
URN:NBN:no-nb_digibok_2009021703002,Eventyr,25,25,,,,dhlab_norn_poem_00068,
URN:NBN:no-nb_digibok_2009021703002,Narrens vise,26,26,,,,dhlab_norn_poem_00069,
URN:NBN:no-nb_digibok_2009021703002,Pagesange,27,31,,,Del 1: 27–28. Del 2: 29. Del 3: 29–31,dhlab_norn_poem_00070,
URN:NBN:no-nb_digibok_2009021703002,Sanetissima!,32,32,,,,dhlab_norn_poem_00071,
URN:NBN:no-nb_digibok_2009021703002,Sommernat,33,34,,,Del 1: 33 Del 2: 34,dhlab_norn_poem_00072,
URN:NBN:no-nb_digibok_2009021703002,Vår,35,36,,,,dhlab_norn_poem_00073,
URN:NBN:no-nb_digibok_2009021703002,Nokturne,37,38,,,,dhlab_norn_poem_00074,
URN:NBN:no-nb_digibok_2009021703002,Flueliv,39,40,,,,dhlab_norn_poem_00075,
URN:NBN:no-nb_digibok_2009021703002,"De sier, vår er kommen over landet –",41,41,,,,dhlab_norn_poem_00076,
URN:NBN:no-nb_digibok_2009021703002,Nat,42,42,,,,dhlab_norn_poem_00077,
URN:NBN:no-nb_digibok_2009021703002,"Den dag, det høstes i dit sind –",43,43,,,,dhlab_norn_poem_00078,
URN:NBN:no-nb_digibok_2009021703002,Fra kunstnerfesten,44,46,,,,dhlab_norn_poem_00079,
URN:NBN:no-nb_digibok_2009021703002,Snehvide,47,47,,,,dhlab_norn_poem_00080,
URN:NBN:no-nb_digibok_2009021703002,Der går en susen gjennem nattens stilhed,48,49,,,,dhlab_norn_poem_00081,
URN:NBN:no-nb_digibok_2009021703002,Andagt,50,50,,,,dhlab_norn_poem_00082,
URN:NBN:no-nb_digibok_2009021703002,Jeg har elsket,51,51,,,,dhlab_norn_poem_00083,
URN:NBN:no-nb_digibok_2009021703002,Nonnen,52,60,,,,dhlab_norn_poem_00084,
URN:NBN:no-nb_digibok_2009021703002,Barcarole,61,61,,,,dhlab_norn_poem_00085,
URN:NBN:no-nb_digibok_2009021703002,Havgråd,62,62,,,,dhlab_norn_poem_00086,
URN:NBN:no-nb_digibok_2009021703002,En snegl,63,64,,,,dhlab_norn_poem_00087,
URN:NBN:no-nb_digibok_2009021703002,Barn,65,65,,,,dhlab_norn_poem_00088,
URN:NBN:no-nb_digibok_2009021703002,Du sang –,66,66,,,,dhlab_norn_poem_00089,
URN:NBN:no-nb_digibok_2009021703002,Nat,67,67,,,,dhlab_norn_poem_00090,
URN:NBN:no-nb_digibok_2009021703002,En måge,68,68,,,,dhlab_norn_poem_00091,
URN:NBN:no-nb_digibok_2009021703002,Landet,69,70,,,,dhlab_norn_poem_00092,
URN:NBN:no-nb_digibok_2009021703002,17de mai,71,72,,,,dhlab_norn_poem_00093,
URN:NBN:no-nb_digibok_2009021703002,Trold tre,73,75,,,,dhlab_norn_poem_00094,
URN:NBN:no-nb_digibok_2009021703002,Digterløn,76,76,,,,dhlab_norn_poem_00095,
URN:NBN:no-nb_digibok_2009021703002,Spørg mig ikke –,77,77,,,,dhlab_norn_poem_00096,
URN:NBN:no-nb_digibok_2009021703002,Det suste som storm,78,78,,,,dhlab_norn_poem_00097,
URN:NBN:no-nb_digibok_2009021703002,Fremtidskaravanen,79,80,,,,dhlab_norn_poem_00098,
URN:NBN:no-nb_digibok_2009021703002,Den evige jøde,81,83,,,,dhlab_norn_poem_00099,
URN:NBN:no-nb_digibok_2009021703002,Mod kveld,84,84,,,,dhlab_norn_poem_00100,
URN:NBN:no-nb_digibok_2009021703002,Leg over grave,85,85,,,,dhlab_norn_poem_00101,
URN:NBN:no-nb_digibok_2009021703002,Høstvise,86,86,,,,dhlab_norn_poem_00102,
URN:NBN:no-nb_digibok_2009021703002,Ensom,87,87,,,,dhlab_norn_poem_00103,
URN:NBN:no-nb_digibok_2009021703002,Kveldsol,88,88,,,,dhlab_norn_poem_00104,
URN:NBN:no-nb_digibok_2009021703002,Himlen har ikke guder,89,89,,,,dhlab_norn_poem_00105,
URN:NBN:no-nb_digibok_2009021703002,Lysblege sommernætter,90,90,,,,dhlab_norn_poem_00106,
URN:NBN:no-nb_digibok_2009021703002,Romantik,91,95,,,,dhlab_norn_poem_00107,
URN:NBN:no-nb_digibok_2016051048054,Tag din harpe,14,15,x,,,dhlab_norn_poem_00108,
URN:NBN:no-nb_digibok_2016051048054,Syng,15,15,x,,,dhlab_norn_poem_00109,
URN:NBN:no-nb_digibok_2016051048054,Kaldet,15,16,x,,,dhlab_norn_poem_00110,
URN:NBN:no-nb_digibok_2016051048054,Modstand mod kaldet,16,17,x,,,dhlab_norn_poem_00111,
URN:NBN:no-nb_digibok_2016051048054,Luk op,17,18,x,,,dhlab_norn_poem_00112,
URN:NBN:no-nb_digibok_2016051048054,Kom igjen,18,21,x,,,dhlab_norn_poem_00113,
URN:NBN:no-nb_digibok_2016051048054,Den nye fødsel,21,22,x,,,dhlab_norn_poem_00114,
URN:NBN:no-nb_digibok_2016051048054,En hilsen,22,24,x,,,dhlab_norn_poem_00115,
URN:NBN:no-nb_digibok_2016051048054,Kristi blod,24,26,x,,,dhlab_norn_poem_00116,
URN:NBN:no-nb_digibok_2016051048054,Den forglemte,26,27,x,,,dhlab_norn_poem_00117,
URN:NBN:no-nb_digibok_2016051048054,Til den unge,27,29,x,,,dhlab_norn_poem_00118,
URN:NBN:no-nb_digibok_2016051048054,Forsmag paa saligheden,29,30,x,,,dhlab_norn_poem_00119,
URN:NBN:no-nb_digibok_2016051048054,Ja eller nei,30,31,x,,,dhlab_norn_poem_00120,
URN:NBN:no-nb_digibok_2016051048054,Vælger,31,32,x,,,dhlab_norn_poem_00121,
URN:NBN:no-nb_digibok_2016051048054,Har du mod dertil?,33,33,,,,dhlab_norn_poem_00122,
URN:NBN:no-nb_digibok_2016051048054,Brudens suk,34,35,x,,,dhlab_norn_poem_00123,
URN:NBN:no-nb_digibok_2016051048054,Hvo er den lille flok,35,36,x,,,dhlab_norn_poem_00124,
URN:NBN:no-nb_digibok_2016051048054,Guds Børns hjem,36,36,x,,,dhlab_norn_poem_00125,
URN:NBN:no-nb_digibok_2016051048054,Kamp og strid,37,37,,,,dhlab_norn_poem_00126,
URN:NBN:no-nb_digibok_2016051048054,Under korset,38,38,,,,dhlab_norn_poem_00127,
URN:NBN:no-nb_digibok_2016051048054,Den gode hyrde,39,39,x,,,dhlab_norn_poem_00128,
URN:NBN:no-nb_digibok_2016051048054,Rust dig,39,40,x,,,dhlab_norn_poem_00129,
